NAT_Type,Internal_IP,External_IP,Hostname,Description,Port
static,10.60.132.10,,,,
static,10.60.132.11,,,,
static,10.60.132.12,,,,
static,10.60.66.10,,,,
static,10.60.66.11,,,,
static,10.60.66.12,,,,
static,10.60.66.13,,,,
static,10.60.66.14,,,,
static,10.60.66.15,,,,
static,10.60.98.240,,,,
static,10.60.66.16,,,,
static,10.60.98.238,,,,
static,10.60.98.239,,,,
static,10.60.97.50,,,,
static,10.60.68.100,,,,
static,10.60.97.53,,,,
dynamic,10.60.139.50,,,,
dynamic,10.60.129.38,,,,
dynamic,10.60.129.39,,,,
dynamic,10.60.129.48,,,,
dynamic,10.60.129.49,,,,
dynamic,10.60.132.24,,,,
dynamic,10.60.132.25,,,,
dynamic,10.60.132.150,,,,
dynamic,10.60.132.53,,,,
dynamic,10.60.132.58,,,,
dynamic,10.60.132.50,,,,
dynamic,10.60.132.57,,,,
dynamic,10.60.132.51,,,,
dynamic,10.60.132.54,,,,
dynamic,10.60.132.56,,,,
dynamic,10.60.132.52,,,,
dynamic,10.60.132.28,,,,
dynamic,10.60.132.27,,,,
static,10.60.98.241,,,,
static,10.60.98.242,,,,
static,10.60.98.243,,,,
static,10.60.98.244,,,,
static,10.60.132.20,,,,
static,10.60.132.21,,,,
static,10.60.132.22,,,,
static,10.60.98.245,,,,
static,10.60.98.246,,,,
static,10.60.98.249,,,,
static,10.60.98.247,,,,
static,10.60.98.248,,,,
static,10.60.98.12,,,,
static,10.60.66.17,,,,
static,10.60.132.16,,,,
static,10.60.132.17,,,,
static,10.60.132.18,,,,
static,10.60.132.19,,,,
static,10.60.97.17,,,,
static,10.60.97.49,,,,
static,10.60.132.30,,,,
static,10.60.132.31,,,,
static,10.60.132.32,,,,
static,10.60.132.33,,,,
static,10.60.97.131,,,,
static,10.60.98.11,,,,
static,10.60.132.34,,,,
static,10.60.132.35,,,,
static,10.60.132.36,,,,
static,10.60.132.37,,,,
static,10.60.132.38,,,,
static,10.60.132.39,,,,
