Description,External_IP,Hostname,NAT_Type,Internal_IP,Port
,,proxy01.prod.med3.util.mlbam.net,static,10.60.132.10,
,,proxy02.prod.med3.util.mlbam.net,static,10.60.132.11,
,,proxy03.prod.med3.util.mlbam.net,static,10.60.132.12,
,,epg-service-sony-int,static,10.60.66.10,
,,sentv-user-ext-int,static,10.60.66.11,
,,sentv-user-auth-int,static,10.60.66.12,
,,sentv-user-action-int,static,10.60.66.13,
,,media-framework-sony,static,10.60.66.14,
,,key-service-sony-int,static,10.60.66.15,
,,epg-admin-portal-int,static,10.60.98.240,
,,epg-image-origin,static,10.60.66.16,
,,provisioning_post_production,static,10.60.98.238,
,,provisioning_ui,static,10.60.98.239,
,,aspproxy01.c01.xfer.gen.med3.prod,static,10.60.97.50,
,,bastion01.c01.l3.sony.med3.util.mlbam.net,static,10.60.68.100,
,,aspproxy02.c01.xfer.gen.med3.prod,static,10.60.97.53,
,,nagios01.c01.noc.mlb.med3.util,dynamic,10.60.129.38,
,,puppet.c01.pm.mlb.med3.util.mlbam.net,dynamic,10.60.129.39,
,,nagios02.c01.noc.mlb.med3.util.mlbam.net,dynamic,10.60.129.48,
,,nagiosql03.c01.noc.mlb.med3.util.mlbam.net,dynamic,10.60.129.49,
,,rbind01.c01.dns.gen.med3.util,dynamic,10.60.132.24,
,,rbind02.c01.dns.gen.med3.util,dynamic,10.60.132.25,
,,agent01.c01.1keyes.gen.med3.net.bamtech.co,dynamic,10.60.132.150,
,,proxy04.linear01.infra.sony.med3.prod.bamtech.co,dynamic,10.60.132.53,
,,proxy01.linear01.infra.sony.med3.prod.bamtech.co,dynamic,10.60.132.50,
,,"proxy08.linear01.infra.sony.med3.prod.bamtech.co	",dynamic,10.60.132.57,
,,proxy02.linear01.infra.sony.med3.prod.bamtech.co,dynamic,10.60.132.51,
,,"proxy05.linear01.infra.sony.med3.prod.bamtech.co	",dynamic,10.60.132.54,
,,"proxy07.linear01.infra.sony.med3.prod.bamtech.co	",dynamic,10.60.132.56,
,,proxy03.linear01.infra.sony.med3.prod.bamtech.co,dynamic,10.60.132.52,
'jenkins-coreinfra-prod-creation_v7-create_vms-135',,rbind02.c01.dns.gen.med3.util.bamtech.co,dynamic,10.60.132.28,
'jenkins-coreinfra-prod-creation_v7-create_vms-135',,rbind01.c01.dns.gen.med3.util.bamtech.co,dynamic,10.60.132.27,
,,jobmgr-hbo-dev-web,static,10.60.98.241,
,,mpipe-hbo-dev-web,static,10.60.98.242,
,,jobmgr-hbo-qa-web,static,10.60.98.243,
,,mpipe-hbo-qa-web,static,10.60.98.244,
,,proxy04.prod.med3.util.mlbam.net,static,10.60.132.20,
,,proxy05.prod.med3.util.mlbam.net,static,10.60.132.21,
,,proxy06.prod.med3.util.mlbam.net,static,10.60.132.22,
,,ams-hbo-dev-web,static,10.60.98.245,
,,ams-hbo-qa-web,static,10.60.98.246,
,,ams-hbo-prod-web,static,10.60.98.249,
,,jobmgr-hbo-prod-web,static,10.60.98.247,
,,mpipe-hbo-prod-web,static,10.60.98.248,
,,jetty_adconext_sony_cs_ssl_vipA,static,10.60.98.12,
,,hls_adweb_sony,static,10.60.66.17,
VM,,dlproxy01.c01.web.sony.med3.prod.mlbam.net,static,10.60.132.16,VM
VM,,dlproxy02.c01.web.sony.med3.prod.mlbam.net,static,10.60.132.17,VM
"ip pinging, tagged by hal",,,static,10.60.132.18,
"ip pinging, tagged by hal",,,static,10.60.132.19,
,, ftp01.c01.nbc.sony.med3.prod.mlbam.net,static,10.60.97.17,
VM,,proxy01.c01.infra.gen.med3.prod.mlbam.net,static,10.60.132.30,VM
VM,,proxy02.c01.infra.gen.med3.prod.mlbam.net ,static,10.60.132.31,VM
VM,,proxy03.c01.infra.gen.med3.prod.mlbam.net ,static,10.60.132.32,VM
VM,,proxy04.c01.infra.gen.med3.prod.mlbam.net ,static,10.60.132.33,VM
209.102.209.131,,M3IRDRX232,static,10.60.97.131,
209.102.209.22,,jetty_jmfe_sony_cs_ssl_vipA,static,10.60.98.11,
,,ats01.proxy01.inf.gen.med3.util.bamtech.co,static,10.60.132.34,
,,ats02.proxy01.inf.gen.med3.util.bamtech.co,static,10.60.132.35,
,,ats03.proxy01.inf.gen.med3.util.bamtech.co,static,10.60.132.36,
,,ats01.proxy01.app.gen.med3.util.bamtech.co,static,10.60.132.37,
,,ats02.proxy01.app.gen.med3.util.bamtech.co,static,10.60.132.38,
,,ats03.proxy01.app.gen.med3.util.bamtech.co,static,10.60.132.39,
