,Device:,Circuit ID:,ifName:,snmpIndex:,Read Community:,Device Type:
CTL1,wrt01.clt1 (10.34.255.1),BDHT8669,Eth1/11,436212736,5CardStud,Nexus9000 93180YC-EX
,wrt01.clt1 (10.34.255.1),BDHT8667,Eth1/12,436213248,5CardStud,Nexus9000 93180YC-EX
,wrt01.clt1 (10.34.255.1),BDHT8668,Eth1/13,436213760,5CardStud,Nexus9000 93180YC-EX
,wrt01.clt1 (10.34.255.1),BDJD9716,Eth1/14,436214272,5CardStud,Nexus9000 93180YC-EX
,wrt01.clt1 (10.34.255.1),BDJJ3888,Eth1/15,436214784,5CardStud,Nexus9000 93180YC-EX
,wrt01.clt1 (10.34.255.1),BDKN7763,Eth1/16,436215296,5CardStud,Nexus9000 93180YC-EX
,wrt01.clt1 (10.34.255.1),BDKN7764,Eth1/17,436215808,5CardStud,Nexus9000 93180YC-EX
,wrt02.clt1 (10.34.255.2),BDHT0912,Eth1/11,436212736,5CardStud,Nexus9000 93180YC-EX
,wrt02.clt1 (10.34.255.2),BDHT0910,Eth1/12,436213248,5CardStud,Nexus9000 93180YC-EX
,wrt02.clt1 (10.34.255.2),BDHT1143,Eth1/13,436213760,5CardStud,Nexus9000 93180YC-EX
,wrt02.clt1 (10.34.255.2),BDJG7733,Eth1/14,436214272,5CardStud,Nexus9000 93180YC-EX
,wrt02.clt1 (10.34.255.2),BDJJ3889,Eth1/15,436214784,5CardStud,Nexus9000 93180YC-EX
,wrt02.clt1 (10.34.255.2),BDKN7761,Eth1/16,436215296,5CardStud,Nexus9000 93180YC-EX
,wrt02.clt1 (10.34.255.2),BDKN7762,Eth1/17,436215808,5CardStud,Nexus9000 93180YC-EX
,ert01.clt1 (10.34.255.5),BDHT8737,Eth1/11,436212736,5CardStud,Nexus9000 93180YC-EX
,ert01.clt1 (10.34.255.5),BDHW4411,Eth1/12,436213248,5CardStud,Nexus9000 93180YC-EX
,ert01.clt1 (10.34.255.5),BDHZ2552,Eth1/13,436213760,5CardStud,Nexus9000 93180YC-EX
,ert01.clt1 (10.34.255.5),BDHX7748,Eth1/20,436217344,5CardStud,Nexus9000 93180YC-EX
,ert01.clt1 (10.34.255.5),440335688,Eth1/23,436218880,5CardStud,Nexus9000 93180YC-EX
,ert01.clt1 (10.34.255.5),BDKP0990,Eth1/24,436219392,5CardStud,Nexus9000 93180YC-EX
,ert02.clt1 (10.34.255.6),BDJB2140,Eth1/11,436212736,5CardStud,Nexus9000 93180YC-EX
,ert02.clt1 (10.34.255.6),BDJB2144,Eth1/12,436213248,5CardStud,Nexus9000 93180YC-EX
,ert02.clt1 (10.34.255.6),BDJB2145,Eth1/13,436213760,5CardStud,Nexus9000 93180YC-EX
,ert02.clt1 (10.34.255.6),440335691,Eth1/23,436218880,5CardStud,Nexus9000 93180YC-EX
,irt01.clt1 (10.34.255.7),BBSD74474/BDHR9589,TenGigE0/0/0/2,34,5CardStud,ASR9K ASR-9001
,irt01.clt1 (10.34.255.7),ATT-L4YS.931882..ATI,TenGigE0/0/0/3,35,5CardStud,ASR9K ASR-9001
,irt02.clt1 (10.34.255.8),BBSC82273/BDHR2669,TenGigE0/0/0/2,34,5CardStud,ASR9K ASR-9001
,irt02.clt1 (10.34.255.8),ATT-L4YS.932674..ATI,TenGigE0/0/0/3,35,5CardStud,ASR9K ASR-9001
,,,,,,
EWR1,wrt01.ewr1(10.28.255.1),BDHR7472,Eth1/1,436207616,5CardStud,Nexus9000 93180YC-EX
